?   	github.com/georgechieng-sc/interns-2022	[no test files]
goos: linux
goarch: amd64
pkg: github.com/georgechieng-sc/interns-2022/folder
cpu: 11th Gen Intel(R) Core(TM) i5-11400F @ 2.60GHz
Benchmark_folder_NewDriver-12                           	   12429	     94775 ns/op	   89754 B/op	     945 allocs/op
Benchmark_folder_NewDriver-12                           	   12848	     93958 ns/op	   89750 B/op	     945 allocs/op
Benchmark_folder_NewDriver-12                           	   12747	     94144 ns/op	   89747 B/op	     945 allocs/op
Benchmark_folder_NewDriver-12                           	   12416	     93001 ns/op	   89751 B/op	     945 allocs/op
Benchmark_folder_NewDriver-12                           	   12636	     94681 ns/op	   89750 B/op	     945 allocs/op
Benchmark_folder_NewDriver-12                           	   12352	     95284 ns/op	   89752 B/op	     945 allocs/op
Benchmark_folder_NewDriver-12                           	   12015	     94208 ns/op	   89747 B/op	     945 allocs/op
Benchmark_folder_NewDriver-12                           	   12387	     94048 ns/op	   89752 B/op	     945 allocs/op
Benchmark_folder_NewDriver-12                           	   12609	     95243 ns/op	   89755 B/op	     945 allocs/op
Benchmark_folder_NewDriver-12                           	   12271	     95063 ns/op	   89752 B/op	     945 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  117829	     10053 ns/op	   25805 B/op	      22 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  120306	      9930 ns/op	   25805 B/op	      22 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  120219	      9993 ns/op	   25805 B/op	      22 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  120126	      9919 ns/op	   25808 B/op	      22 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  115959	     10168 ns/op	   25802 B/op	      22 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  117727	     10054 ns/op	   25801 B/op	      22 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  117787	      9957 ns/op	   25808 B/op	      22 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  117895	     10067 ns/op	   25802 B/op	      22 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  118908	     10038 ns/op	   25807 B/op	      22 allocs/op
Benchmark_folder_GetFoldersByOrgID-12                   	  113786	     10063 ns/op	   25807 B/op	      22 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  338421	      3511 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  351580	      3512 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  352629	      3521 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  352635	      3476 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  345597	      3513 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  347268	      3445 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  331452	      3512 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  348584	      3498 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  338283	      3524 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_large_subtree-12    	  331695	      3519 ns/op	    7623 B/op	      10 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 6067408	       195.2 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 6034752	       200.2 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 6052602	       200.6 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 5831262	       200.5 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 5989438	       198.6 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 6187986	       199.6 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 6085257	       200.5 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 6066693	       201.2 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 5957898	       198.8 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_GetAllChildFolders_small_subtree-12    	 6224510	       201.0 ns/op	     160 B/op	       3 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1718209	       699.9 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1740004	       693.0 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1758464	       691.1 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1796942	       694.2 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1729867	       686.9 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1699201	       685.9 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1745656	       697.8 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1786336	       700.1 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1694683	       689.0 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_shallow-12    	 1738786	       690.5 ns/op	     416 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_deep-12       	 1233345	       977.3 ns/op	     896 B/op	      10 allocs/op
Benchmark_folder_MoveFolder_small_tree_to_deep-12       	 1232838	       946.8 ns/op	     896 B/op	      10 allocs/op
